SHOPP ID,Supplementary Activity
9000,Do Not Include
9000,Do Not Include
9189,Bridge Rail 
9189,Bridge Rehabilitation 
9189,Bridge Rehabilitation 
9189,Do Not Include
9189,Do Not Include
9189,Shoulders - New & Widening 
9195,Bridge Rail 
9195,Do Not Include
9195,Do Not Include
9195,Guard Rail 
9208,Median Barrier 
9208,Guard Rail 
9208,Safety Treatment to Reduce Collisions
9228,Bridge Replacement/New Construction 
9228,Bridge Replacement/New Construction 
9228,Bridge Replacement/New Construction 
9228,Bridge Replacement/New Construction 
9228,Bridge Replacement/New Construction 
9228,Bridge Rail 
9228,Fish Passage Remediation 
9228,Do Not Include
9228,Asphalt Pavement Minor Rehab 
9228,Replace or Rehabilitate Culvert
9228,Replace or Rehabilitate Culvert
9228,Sign Panel Replacement
9228,Shoulders - New & Widening 
9228,New Sidewalk 
9228,Repair/Upgrade or New Curb Ramp
9228,Do Not Include
9228,Class II Bike Lane 
9228,Pedestrian Access/Sidewalks
9228,Do Not Include
9242,Bridge Rehabilitation 
9242,Bridge Rehabilitation 
9242,Fish Passage Remediation 
9242,Do Not Include
9261,Bridge Rehabilitation 
9261,Bridge Rehabilitation 
9261,Do Not Include
9261,Do Not Include
9261,Guard Rail 
9261,Sign Panel Replacement
9261,Do Not Include
9261,Rock Slope Protection
9271,Bridge Replacement/New Construction 
9271,Bridge Replacement/New Construction 
9271,Bridge Replacement/New Construction 
9271,Bridge Replacement/New Construction 
9271,Bridge Replacement/New Construction 
9271,Bridge Rail 
9271,Do Not Include
9271,Do Not Include
9271,Class I Bike Paths 
9271,Pedestrian Access/Sidewalks
9271,Do Not Include
9289,Asphalt Pavement Minor Rehab 
9289,Replace or Rehabilitate Culvert
9289,Replace or Rehabilitate Culvert
9289,Replace or Rehabilitate Culvert
9289,Miscellaneous Drainage Work
9289,Median Barrier 
9289,Crash Cushions 
9289,Miscellaneous Drainage Work
9289,Guard Rail 
9289,Rehabilitate or Install New Lighting
9289,Rumble Strips 
9289,Widen Shoulders 
9289,Changeable Message Sign 
9289,Closed-Circuit Television 
9289,Vehicle Detection 
9289,Turn Pockets 
9289,Intersection Improvements 
9289,New Sidewalk 
9289,Repair/Upgrade or New Curb Ramp
9289,Do Not Include
9289,Worker Safety - Miscellaneous Paving/Treatment
9289,Worker Safety - Vegetation Control
9289,Do Not Include
9289,Do Not Include
9289,Do Not Include
9293,Replace or Rehabilitate Culvert
9293,Replace or Rehabilitate Culvert
9294,Replace or Rehabilitate Culvert
9294,Replace or Rehabilitate Culvert
9294,Widen Shoulders 
9294,Do Not Include
11249,Bridge Replacement/New Construction 
11249,Bridge Replacement/New Construction 
11249,Bridge Replacement/New Construction 
11249,Bridge Replacement/New Construction 
11249,Bridge Rail 
11249,Do Not Include
11249,Do Not Include
11249,Median Barrier 
11249,Guard Rail 
11249,Rehabilitate or Install New Lighting
11278,Bridge Preservation 
11278,Bridge Replacement/New Construction 
11278,Bridge Replacement/New Construction 
11278,Bridge Replacement/New Construction 
11278,Bridge Replacement/New Construction 
11278,Bridge Replacement/New Construction 
11278,Bridge Rail 
11278,Fish Passage Remediation 
11278,Do Not Include
11278,Fish Passage Remediation 
11278,Guard Rail 
11278,Rehabilitate or Install New Lighting
11278,Repair Existing Sidewalk 
11278,Do Not Include
11278,Do Not Include
11313,Replace or Rehabilitate Culvert
11313,Replace or Rehabilitate Culvert
11313,Guard Rail 
11313,Do Not Include
11313,Do Not Include
13067,Worker Safety - Miscellaneous Paving/Treatment
13254,Repair/upgrade or new curb ramp
13254,Do Not Include
13298,Bridge Rail 
13298,Fish Passage Remediation 
13298,Do Not Include
13298,Guard Rail 
13298,Do Not Include
13298,Do Not Include
13379,Worker Safety - Miscellaneous Paving/Treatment
13379,Do Not Include
13379,Do Not Include
13546,Bridge Replacement/New Construction 
13546,Bridge Replacement/New Construction 
13546,Bridge Replacement/New Construction 
13546,Bridge Replacement/New Construction 
13546,Bridge Replacement/New Construction 
13546,Bridge Rail 
13546,Fish Passage Remediation 
13546,Do Not Include
13546,"Paving  Ramps, Connectors and/or Shoulders"
13546,Guard Rail 
13546,Bridge Access for Pedestrians and Bicyclists 
13546,Do Not Include
13588,Total Maximum Daily Load Mitigation  
13626,Bridge Replacement/New Construction 
13626,Bridge Replacement/New Construction 
13626,Bridge Replacement/New Construction 
13626,Bridge Replacement/New Construction 
13626,Bridge Replacement/New Construction 
13626,Bridge Rail 
13626,Bridge Approach Slabs 
13626,Do Not Include
13626,Do Not Include
13626,Median Barrier 
13626,Guard Rail 
13626,Do Not Include
13626,Do Not Include
13649,Asphalt Pavement Major Rehab
13670,Asphalt Pavement Minor Rehab
13670,Repair/upgrade or new curb ramp
13670,Install Accessible Pedestrian Signal 
13670,Upgrade/New Detectable Warning Surface 
13670,Do Not Include
13670,Do Not Include
13671,Asphalt Pavement Minor Rehab
13671,Asphalt Pavement Minor Rehab
13671,Census Station 
13671,Repair/upgrade or new curb ramp
13671,Do Not Include
13671,Do Not Include
13671,Do Not Include
13724,Water & Wastewater Treatment  at Safety Roadside Rest Area 
13724,Bike Parking 
13724,Do Not Include
13752,Replace or Rehabilitate Culvert
13752,Replace or Rehabilitate Culvert
13752,Miscellaneous Drainage Work
13752,Miscellaneous Drainage Work
13752,Miscellaneous Drainage Work
13752,Erosion Control
13752,Retaining Wall
13752,Transit Stop Improvements 
13752,Total Maximum Daily Load Mitigation  
13801,Bridge Rail 
13801,Do Not Include
13801,Do Not Include
13801,Asphalt Pavement Minor Rehab 
13801,Crash Cushions 
13801,Guard Rail 
13801,Rumble Strips 
13801,Widen Shoulders 
13801,Bridge Access for Pedestrians and Bicyclists 
13801,Do Not Include
13801,Retaining Wall
13801,Rock Slope Protection
13815,Asphalt Pavement Minor Rehab
13815,"Paving  Ramps, Connectors and/or Shoulders"
13815,Crash Cushions 
13815,Miscellaneous Drainage Work
13815,Guard Rail 
13815,Rumble Strips 
13846,Replace or Rehabilitate Culvert
13846,Miscellaneous Drainage Work
13846,Flashing Beacons 
13846,Pedestrian Crossings 
13846,Roundabouts 
13846,Signing 
13846,Acceleration/Deceleration Lane 
13846,New Pedestrian Refuge Islands 
13846,Restripe Bikeways 
13846,New/Modify Crosswalk
13846,New Sidewalk 
13846,Repair/Upgrade or New Curb Ramp
13846,New/Modify Crosswalk
13846,Daily Vehicle Hours of Delay (DVHD) Reduced 
13846,Do Not Include
13846,Rock Slope Protection
13846,Bike/Pedestrian Path Gap Closure 
13846,Do Not Include
13853,Census Station 
13853,Changeable Message Sign 
13853,Closed-Circuit Television 
13853,Vehicle Detection 
13853,Do Not Include
