SHOPP ID,Caltrans District,County,Route,Begin Mile,End Mile,Primary Work,Planning or Post-Planning? ,Advertised Year,Project Cost ($K),SB-1 Priority,EFIS ID,EA,MPO/RTPA,Tool Section,Long- Lead?,Nickname,District Portal Link,Project Link,Organization,Street Address,Mailing Address,Phone,Email,Performance Value,Performance output,All perfromance data consistent with CTIPS?,Check  AM tool vs programming,Check AM tool vs programming units,AM tool data,AM tool unit,Project Description,County abbreviation,Latitude to use,Longitude to use,CA State Assembly District,CA State Senate District,U.S. Congressional District,Project Status,Project Location,Primary Scope
20275,1,Del Norte,101,0,46.5,Drainage,Planning,2026/27,34473.0,Yes,120000135.0,0K690,Del Norte LTC,TYP,Yes,Culvert Rehabilitation & Fish Passage,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,69.0,Culvert(s) (ea),Ok,Ok,Ok,69.0,Culvert(s) (ea),The scope of this planned project is under development in Del Norte County on Route 101 with primary work on Drainage.  Project will address 69 drainage system(s).,DN,41.46470168,-124.0373304,3,2,2,Conceptual,Del Norte 101 - 0 / 46.5,69 Culvert(s) (ea)
22305,1,Del Norte,101,8.2,8.7,Bridge,Post-Planning,2021/22,438.0,Yes,120000028.0,0B091,Del Norte LTC,PRG,No,Hunter-Panther Mitigation,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,0.0,Bridge(s),Ok,Ok,Ok,0.0,Bridge(s),"Near Klamath, at Panther Creek Bridge No. 01-0025 and at Hunter Creek Bridge No. 01-0003.  Environmental mitigation monitoring for project EA 0B090.",DN,41.55460678,-124.05540590000001,3,2,2,In Design,Del Norte 101 - 8.2 / 8.7,0 Bridge(s)
16494,1,Del Norte,101,12,15.5,Major Damage - Permanent Restoration,Post-Planning,2030/31,10075.0, ,115000099.0,0F280,Del Norte LTC,PRG,Yes,LAST CHANCE GRADE,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,1.0,Location(s),Ok,Ok,Ok,1.0,Location(s),"Near Crescent City, at Last Chance Grade, from Wilson Creek Bridge to 3.8 miles north of Wilson Creek Bridge.  Permanent roadway restoration and realignment. 
(Long Lead Project)",DN,41.5953126,-124.10034840000002,3,2,2,In Design,Del Norte 101 - 12 / 15.5,1 Location(s)
21946,1,Del Norte,101,12.6,13.2,Major Damage - Permanent Restoration,Planning,2026/27,32723.0, ,120000033.0,0K140,Del Norte LTC,PRG,Yes,Wilson Creek Restoration & SPGA Wall,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,1.0,Location(s),Ok,Ok,Ok,1.0,Location(s),"The scope of this planned project is under development in Del Norte County on Route 101 with primary work on Major Damage - Permanent Restoration.  Project will address 1 bridge(s), and 1.6 lane miles of pavement.",DN,41.60396823,-124.10036470000001,3,2,2,Conceptual,Del Norte 101 - 12.6 / 13.2,1 Location(s)
17537,1,Del Norte,101,21.2,,Major Damage - Permanent Restoration,Post-Planning,2020/21,18227.0, ,116000137.0,0G210,Del Norte LTC,PRG,No,Permanent Restoration at Cushing Creek,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,1.0,Location(s),Ok,Ok,Ok,1.0,Location(s),"Near Crescent City, at 0.2 mile north of Cushing Creek Viaduct.  Restore roadway to pre-slide condition.",DN,41.70888599,-124.1310625,3,2,2,In Design,Del Norte 101 - 21.2 / ,1 Location(s)
16236,1,Del Norte,101,25.6,27.3,Mobility - ADA,Post-Planning,2019/20,10157.0, ,113000023.0,0C660,Del Norte LTC,PPC,No,CRESCENT CITY ADA,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,92.0,Curb ramp(s),Ok,Ok,Ok,92.0,Curb ramp(s),"In and near Crescent City, from south of Elk Valley Road to north of Wilson Avenue/Burtschell Street.  Upgrade Americans with Disabilities Act (ADA) facilities and construct traffic calming measures to improve operations and safety for non-motorized users.",DN,41.74994158,-124.1817018,3,2,2,In Design,Del Norte 101 - 25.6 / 27.3,92 Curb ramp(s)
9014,1,Del Norte,101,35.8,36.5,Bridge,Post-Planning,2020/21,107047.0,Yes,100000193.0,43640,Del Norte LTC,PPC,No,Dr. Fine Bridge Replacement,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects/d1-dr-fine-bridge-replacement,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,1.0,Bridge(s),Ok,Ok,Ok,1.0,Bridge(s),Near Crescent City from 0.3 mile south to 0.4 mile north of Smith River (Dr. Ernest M Fine Memorial) Bridge No. 01-0020.  Replace bridge.,DN,41.87425227,-124.138287,3,2,2,In Design,Del Norte 101 - 35.8 / 36.5,1 Bridge(s)
16887,1,Del Norte,101,39.8,,Bridge,Post-Planning,2019/20,9709.0,Yes,115000108.0,0F310,Del Norte LTC,PPC,No,Dominie Creek Fish Passage,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,1.0,Bridge(s),Check,Check,Check,236.0,Linear feet rail,"Near Smith River, at Dominie Creek.  Replace box culvert with new bridge and remediate fish passage barrier.",DN,41.9299641,-124.14570570000001,3,2,2,In Design,Del Norte 101 - 39.8 / ,1 Bridge(s)
22252,1,Del Norte,101,39.8,,Bridge,Post-Planning,2019/20,300.0,Yes,120000053.0,0F311,Del Norte LTC,PRG,No,Dominie Fish Passage Mitigation,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,0.0,Bridge(s),Ok,Ok,Ok,0.0,Bridge(s),"Near the Smith River community, at Dominie Creek. Environmental mitigation for EA 0F310.",DN,41.9299641,-124.14570570000001,3,2,2,In Design,Del Norte 101 - 39.8 / ,0 Bridge(s)
20247,1,Del Norte,101,R3.900,23.6,Pavement,Post-Planning,2024/25,42560.0,Yes,118000190.0,0J210,Del Norte LTC,PRG,Yes,KLAMATH CAPM,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,45.2,Lane mile(s),Check,Check,Ok,45.066,Lane mile(s),"Near Klamath and Crescent City, from south of Klamath River Bridge to south of Humboldt Road/Enderts Beach Road.  Rehabilitate pavement and upgrade signs, guardrail, and Transportation Management System (TMS) elements.
(Long Lead Project)",DN,41.51323154,-124.0284064,3,2,2,In Design,Del Norte 101 - R3.900 / 23.6,45.2 Lane mile(s)
